Code,Area,Year,% with NVQ4+ - aged 16-64: percent,% with no qualifications - aged 16-64: percent,"% with NVQ2 only - aged 16-64: percent","% with NVQ3 only - aged 16-64: percent",,,,,,,,,,,,,,,,,
E12000007,London,2021,58.9,5.5,9.7,12,,,,,,,,,,,,,,,,,
E12000007,London,2020,58.7,5.2,10,11.8,,,,,,,,,,,,,,,,,
E12000007,London,2019,54.2,6.7,10.9,12.3,,,,,,,,,,,,,,,,,
E12000007,London,2018,53.1,6.6,11.1,12.7,,,,,,,,,,,,,,,,,
E12000007,London,2017,51.6,6.9,10.9,13.6,,,,,,,,,,,,,,,,,
E12000007,London,2016,51.8,6.6,10.9,13.7,,,,,,,,,,,,,,,,,
E12000007,London,2015,49.8,7.4,11,14,,,,,,,,,,,,,,,,,
E12000007,London,2014,49.1,7.9,11.7,13.9,,,,,,,,,,,,,,,,,
E12000007,London,2013,48.4,9.6,11.8,13.4,,,,,,,,,,,,,,,,,
E12000007,London,2012,47,8.7,12.1,14.1,,,,,,,,,,,,,,,,,
E12000007,London,2011,45.3,9.4,12.1,12.2,,,,,,,,,,,,,,,,,
E12000007,London,2010,41.2,10.0,11.7,12.2,,,,,,,,,,,,,,,,,
E12000007,London,2009,39.3,11.8,11.5,12.0,,,,,,,,,,,,,,,,,
E12000007,London,2008,37.9,12.7,11.3,11.9,,,,,,,,,,,,,,,,,
E12000007,London,2007,37.1,12.9,11.6,12.4,,,,,,,,,,,,,,,,,
E12000007,London,2006,35.0,13.7,11.6,11.9,,,,,,,,,,,,,,,,,
E12000007,London,2005,33.7,14.2,11.5,11.7,,,,,,,,,,,,,,,,,
